timestamp,callsign,latitude,longitude,altitude_baro,speed_kmh
2026-07-12 15:42:33,AIC2029,45.2827,16.6776,11582.4,825.22797
2026-07-12 15:42:33,DEEVB,53.5524,7.9121,274.32,159.228
2026-07-12 15:42:33,DEMBN,49.5396,9.0417,1463.04,228.63599
2026-07-12 15:42:33,OEABD,47.8158,13.5003,1356.36,191.62799
2026-07-12 15:42:33,DETEZ,53.5943,8.418,960.12,219.78
2026-07-12 15:42:33,PGT49PK,48.33,18.7052,11582.4,812.88
2026-07-12 15:42:33,PGT956,46.2832,6.1732,1424.94,306.432
2026-07-12 15:42:33,PGT39JE,50.7745,17.1337,10066.02,873.576
2026-07-12 15:42:33,HB3423,46.6997,6.6124,1668.78,106.884
2026-07-12 15:42:33,BOM1,50.5556,11.5573,6705.6,740.73596
2026-07-12 15:42:33,UAL927,50.0471,8.5683,0.0,0.0
2026-07-12 15:42:33,DMYTD,47.3139,12.8,2842.26,168.15599
2026-07-12 15:42:33,PGT1177,51.4081,7.0322,9753.6,771.264
2026-07-12 15:42:33,PGT334,47.4315,19.2593,0.0,0.0
2026-07-12 15:42:33,PGT1186,49.7704,7.9849,10668.0,884.91595
2026-07-12 15:42:33,PGT69TD,46.3534,19.1961,10363.2,765.144
2026-07-12 15:42:33,HB3453,46.7686,8.2105,2293.62,139.68
2026-07-12 15:42:33,UAL933,50.9315,6.6826,9372.6,844.092
2026-07-12 15:42:33,PGT19QR,47.1204,17.6196,10980.42,748.764
2026-07-12 15:42:33,CAI6VB,50.4744,11.1263,11582.4,807.768
2026-07-12 15:42:33,PGT60MV,47.8055,13.6909,8862.06,800.67596
2026-07-12 15:42:33,PGT77EK,49.2429,16.5078,9121.14,774.18
2026-07-12 15:42:33,DMYCI,53.6508,11.2243,784.86,156.924
2026-07-12 15:42:33,DMMIU,49.6453,9.9453,281.94,131.616
2026-07-12 15:42:33,DMWOP,48.5961,13.162,678.18,117.72
2026-07-12 15:42:33,PGT1158,46.5734,17.812,10675.62,955.40405
2026-07-12 15:42:33,DMFGA,52.3548,10.0097,472.44,246.67198
2026-07-12 15:42:33,AUA33B,48.1739,16.1756,3710.94,501.66
2026-07-12 15:42:33,CFG9VJ,45.6107,8.726,0.0,0.93599993
2026-07-12 15:42:33,SPWAC,51.3769,14.3821,4099.56,372.70798
2026-07-12 15:42:33,T7688,46.7976,10.0087,10386.06,876.2399
2026-07-12 15:42:33,T7BBB,49.631,9.4104,10972.8,624.31195
2026-07-12 15:42:33,ELY355,50.0331,8.5576,0.0,148.176
2026-07-12 15:42:33,AUA426,48.0848,16.593,175.26,242.17198
2026-07-12 15:42:33,OEDKA,49.8078,7.4477,944.88,237.16798
2026-07-12 15:42:33,VLG21MP,45.6623,8.5344,2522.22,476.13596
2026-07-12 15:42:33,EJU9924,45.6454,8.7248,0.0,3.7079997
2026-07-12 15:42:33,DEZMM,45.5457,9.2023,144.78,137.052
2026-07-12 15:42:33,IE760,45.2397,11.8306,129.54,186.29999
2026-07-12 15:42:33,DMPRV,52.871,6.2236,335.28,265.86
2026-07-12 15:42:33,EJU36ZR,46.3486,6.2707,2164.08,460.98
2026-07-12 15:42:33,DMKYZ,52.3765,11.9592,1668.78,145.008
2026-07-12 15:42:33,DMLBJ,48.3623,11.4187,906.78,192.816
2026-07-12 15:42:33,EJU16CF,50.7444,13.5988,9441.18,757.404
2026-07-12 15:42:33,DKXRN,50.3014,10.1788,1752.6,153.468
2026-07-12 15:42:33,AUA802,47.9492,16.6501,975.36,267.37198
2026-07-12 15:42:33,AUA57MP,47.7637,16.467,3916.68,714.384
2026-07-12 15:42:33,UAE1CL,47.2493,13.6869,11887.2,989.352
2026-07-12 15:42:33,DMKDY,49.6267,8.9417,960.12,190.90799
2026-07-12 15:42:33,DMEPC,49.1887,10.3976,2918.46,178.84799
2026-07-12 15:42:33,CMB457,53.9633,10.4649,10668.0,903.6
2026-07-12 15:42:33,HB3131,46.9061,7.4694,784.86,91.187996
2026-07-12 15:42:33,ENT1MG,49.1529,17.8186,10919.46,928.11597
2026-07-12 15:42:33,ENT429,48.8288,8.1758,11277.6,885.74396
2026-07-12 15:42:33,ENT1LK,50.4758,19.165,525.78,283.356
2026-07-12 15:42:33,WZZ536,50.0026,11.0045,10957.56,798.084
2026-07-12 15:42:33,WZZ3GV,51.2156,16.5221,10965.18,797.472
2026-07-12 15:42:33,WMT74SF,45.3696,13.5578,10980.42,761.976
2026-07-12 15:42:33,WZZ3TJ,51.5159,7.6129,0.0,0.0
2026-07-12 15:42:33,WZZ979,50.0269,19.5685,1813.56,534.24
2026-07-12 15:42:33,MMD108,54.9826,10.3491,1927.86,490.5
2026-07-12 15:42:33,WZZ63,45.8486,9.9394,10668.0,784.51196
2026-07-12 15:42:33,WZZ8PS,46.1159,16.0761,10363.2,804.852
2026-07-12 15:42:33,DMTWH,52.6546,12.7653,99.06,98.063995
2026-07-12 15:42:33,S5PGE,46.3498,14.4073,2552.7,192.744
2026-07-12 15:42:33,EFW6DG,48.2074,5.3197,11582.4,811.944
2026-07-12 15:42:33,DMXTD,51.8156,7.1973,784.86,124.848
2026-07-12 15:42:33,UAE96R,45.1617,19.8864,11887.2,996.58795
2026-07-12 15:42:33,HB3161,46.7496,6.6029,586.74,122.90399
2026-07-12 15:42:33,DEEKB,51.6177,7.2001,937.26,241.092
2026-07-12 15:42:33,HB3246,46.6317,7.0679,944.88,163.476
2026-07-12 15:42:33,EZY61JH,48.9852,6.1507,10668.0,873.82794
2026-07-12 15:42:33,S5DVV,48.2299,10.431,1950.72,203.57999
2026-07-12 15:42:33,LZB302,49.7314,15.3583,6903.72,763.34393
2026-07-12 15:42:33,NOZ50H,52.7883,13.5477,11277.6,860.904
2026-07-12 15:42:33,EJU49WF,45.1414,7.6642,10226.04,898.56
2026-07-12 15:42:33,DEZBH,49.5879,7.0618,6705.6,402.408
2026-07-12 15:42:33,N800DW,48.57,17.4902,9182.1,804.672
2026-07-12 15:42:33,EAF9792,48.8158,13.8347,7955.28,837.072
2026-07-12 15:42:33,WZZ63KR,52.6221,11.5776,10668.0,854.27997
2026-07-12 15:42:33,NOZ42BM,54.7668,6.6042,10370.82,900.756
2026-07-12 15:42:33,WMT4ZT,45.3448,9.0826,5478.78,770.256
2026-07-12 15:42:33,DLA8LL,45.511,12.2602,3619.5,614.484
2026-07-12 15:42:33,WZZ3112,45.0778,16.3577,10972.8,817.23596
2026-07-12 15:42:33,AUA7K,48.8854,12.2287,10965.18,855.03595
2026-07-12 15:42:33,DLA5XM,45.8587,8.7156,8069.58,781.56
2026-07-12 15:42:33,DTR197,48.3578,13.6152,3931.92,368.42398
2026-07-12 15:42:33,AMQ777,47.2069,15.924,10668.0,775.368
2026-07-12 15:42:33,THY6510,47.4104,19.6076,11277.6,924.2639
2026-07-12 15:42:33,WZZ3EA,45.1484,18.669,10652.76,903.92395
2026-07-12 15:42:33,WZZ1ZG,47.435,19.2663,0.0,1.836
2026-07-12 15:42:33,CFG5ZF,46.5079,11.0525,9867.9,879.48
2026-07-12 15:42:33,LZB456,45.6175,9.8002,6057.9,751.284
2026-07-12 15:42:33,THY1UP,47.3914,15.5168,9837.42,741.2399
2026-07-12 15:42:33,ITY404,50.0465,8.5693,0.0,24.984
2026-07-12 15:42:33,IOZZY,45.4632,13.0819,2141.22,172.26
2026-07-12 15:42:33,SKV555,47.9176,13.3071,3970.02,320.796
2026-07-12 15:42:33,19,46.6222,16.087,1394.46,104.76
2026-07-12 15:42:33,THY9YH,45.4667,9.2896,3208.02,510.768
2026-07-12 15:42:33,ENT5ZX,51.2047,15.7764,8336.28,753.156
2026-07-12 15:42:33,ENT9DA,47.3757,17.3526,11887.2,783.36
2026-07-12 15:42:33,DEZTC,47.9384,11.8296,1463.04,213.48
2026-07-12 15:42:33,UAE3JP,49.3663,16.2637,10972.8,842.292
2026-07-12 15:42:33,ELY316,49.6911,10.1146,11887.2,936.86395
2026-07-12 15:42:33,VLG92PC,52.4684,9.6431,312.42,287.20798
2026-07-12 15:42:33,89,46.4486,16.0607,1851.66,113.03999
2026-07-12 15:42:33,TVF31HC,50.9723,5.0095,11582.4,807.768
2026-07-12 15:42:33,DELHW,51.9649,8.0007,2286.0,277.848
2026-07-12 15:42:33,SPWBH,53.6403,14.0216,701.04,196.2
2026-07-12 15:42:33,D7555,51.4476,7.8411,464.82,92.808
2026-07-12 15:42:33,DKRAM,52.0985,10.5096,640.08,120.492004
2026-07-12 15:42:33,N750HF,51.4746,8.9951,10668.0,917.7479
2026-07-12 15:42:33,DERLE,47.8913,8.9884,1333.5,172.152
2026-07-12 15:42:33,THY8UG,48.5028,9.3873,3482.34,553.248
2026-07-12 15:42:33,EXS81W,52.1362,6.4938,10370.82,696.34796
2026-07-12 15:42:33,ISR251,51.0265,17.3335,10972.8,817.23596
2026-07-12 15:42:33,THY3UY,47.6427,8.3513,1394.46,379.87198
2026-07-12 15:42:33,BEL4AN,50.1405,7.2732,10027.92,864.82794
2026-07-12 15:42:33,THY3PH,49.689,12.25,10355.58,791.1
2026-07-12 15:42:33,THY8SB,46.4314,14.393,10058.4,929.69995
2026-07-12 15:42:33,BEL9EV,48.356,11.7957,0.0,23.147999
2026-07-12 15:42:33,BEL6VF,48.8427,6.1678,9753.6,821.952
2026-07-12 15:42:33,BEL3WF,46.4498,11.4971,10675.62,929.484
2026-07-12 15:42:33,BEL6KU,49.1178,8.1706,10363.2,800.89197
2026-07-12 15:42:33,BEL6ZH,45.6331,9.0314,4076.7,713.44794
2026-07-12 15:42:33,D7672,51.4588,7.8445,457.2,90.432
2026-07-12 15:42:33,DERMQ,50.6811,8.8269,1013.46,261.432
2026-07-12 15:42:33,YULKA,47.875,16.7977,1310.64,368.244
2026-07-12 15:42:33,AIC151,45.378,13.0747,13106.4,845.316
2026-07-12 15:42:33,HBETA,47.7644,8.9165,1630.68,231.336
2026-07-12 15:42:33,DFSRT,51.643,7.1426,53.34,169.308
2026-07-12 15:42:33,N6669B,45.851,6.0057,1181.1,195.48
2026-07-12 15:42:33,BEL6HI,48.3892,10.4899,11582.4,796.5
2026-07-12 15:42:33,UAE9H,49.2947,17.0532,10058.4,926.46
2026-07-12 15:42:33,THY81D,48.1484,15.0338,11582.4,823.284
2026-07-12 15:42:33,BEL2HJ,52.2911,12.9571,1783.08,461.33997
2026-07-12 15:42:33,IBE0675,45.038,8.0817,3855.72,590.184
2026-07-12 15:42:33,NSZ74Q,54.2417,10.8357,9837.42,804.204
2026-07-12 15:42:33,NSZ5DM,52.3193,5.4331,11277.6,866.808
2026-07-12 15:42:33,THY2NZ,53.6341,10.0035,0.0,0.21599999
2026-07-12 15:42:33,THY7PE,45.6162,5.1062,769.62,371.736
2026-07-12 15:42:33,THY9VA,51.6646,13.1065,10980.42,802.548
2026-07-12 15:42:33,AIC169,45.8083,11.4987,12184.38,828.03595
2026-07-12 15:42:33,THY5KP,47.0165,18.1756,10972.8,744.73193
2026-07-12 15:42:33,S5DEA,48.2791,12.5699,678.18,123.33599
2026-07-12 15:42:33,AIC155,52.2214,6.873,7612.38,744.80396
2026-07-12 15:42:33,AIC113,50.2172,5.6741,12184.38,856.764
2026-07-12 15:42:33,ETD9ZE,47.1566,11.4863,11277.6,974.016
2026-07-12 15:42:33,THY2XD,47.2408,19.3401,10309.86,758.91595
2026-07-12 15:42:33,UAE1X,48.2841,15.5274,10660.38,965.7719
2026-07-12 15:42:33,TOM26E,47.8618,9.7094,11277.6,902.30396
2026-07-12 15:42:33,TOM8ND,48.3444,16.1163,13106.4,865.62
2026-07-12 15:42:33,TOM4GE,50.8575,8.5288,13106.4,843.12
2026-07-12 15:42:33,D7405,48.2735,10.9332,1295.4,118.476
2026-07-12 15:42:33,HBLVB,48.3533,9.8621,3048.0,332.928
2026-07-12 15:42:33,SAS39M,47.0861,16.691,11612.88,894.564
2026-07-12 15:42:33,ETD47,47.7757,12.0293,11574.78,842.868
2026-07-12 15:42:33,SAS4823,53.4914,9.3532,11590.02,826.704
2026-07-12 15:42:33,SAS7723,50.78,14.2602,11277.6,870.048
2026-07-12 15:42:33,DKLAG,50.1842,7.7448,1295.4,98.063995
2026-07-12 15:42:33,HBLWF,46.5281,11.2807,5486.4,320.04
2026-07-12 15:42:33,ETD917,48.9366,12.1867,10363.2,860.364
2026-07-12 15:42:33,D7333,51.3401,14.1189,739.14,123.624
2026-07-12 15:42:33,IE694,45.0528,10.0687,754.38,157.5
2026-07-12 15:42:33,N225CR,49.7045,9.9425,967.74,280.548
2026-07-12 15:42:33,N57DG,53.4226,16.4881,3048.0,369.072
2026-07-12 15:42:33,JFA30J,50.1614,8.9638,731.52,216.18
2026-07-12 15:42:33,JFA09Q,46.1083,6.1303,2095.5,446.72397
2026-07-12 15:42:33,DHXFG,49.4871,11.0641,457.2,201.672
2026-07-12 15:42:33,DKRED,51.4678,7.8271,480.06,146.664
2026-07-12 15:42:33,CHX89,49.0207,12.0378,556.26,228.24
2026-07-12 15:42:33,DHXFA,51.5349,14.3666,365.76,192.31198
2026-07-12 15:42:33,UAE98P,48.3123,14.0832,11277.6,953.532
2026-07-12 15:42:33,UEE1,45.2258,9.3795,6408.42,639.0
2026-07-12 15:42:33,JFA01G,45.8354,6.4642,5783.58,703.332
2026-07-12 15:42:33,JFA37N,52.627,12.6374,12496.8,772.524
2026-07-12 15:42:33,JFA49E,46.3163,14.0449,7315.2,440.496
2026-07-12 15:42:33,DEKMU,53.7049,7.4873,228.6,260.244
2026-07-12 15:42:33,PGT58CD,48.3946,14.3562,11277.6,901.188
2026-07-12 15:42:33,CSN345,52.7468,6.1054,4617.72,618.732
2026-07-12 15:42:33,N46CS,47.8977,14.2493,4899.66,350.20798
2026-07-12 15:42:33,CHX75,50.8733,7.1243,0.0,0.0
2026-07-12 15:42:33,EXS8WJ,45.6961,15.2065,11277.6,896.22
2026-07-12 15:42:33,DERAM,51.9151,9.5473,2438.4,337.82397
2026-07-12 15:42:33,THY9QR,52.6301,9.8823,4152.9,612.612
2026-07-12 15:42:33,EWG5GP,50.108,12.7459,11582.4,793.548
2026-07-12 15:42:33,THY7HE,46.5886,15.8529,11277.6,928.7639
2026-07-12 15:42:33,DERAB,54.4491,9.0379,396.24,222.91199
2026-07-12 15:42:33,ETD123,45.1788,13.61,11582.4,848.23193
2026-07-12 15:42:33,EXS92SE,45.7842,11.9536,10363.2,763.128
2026-07-12 15:42:33,CCA629,53.1272,6.4861,12192.0,842.93994
2026-07-12 15:42:33,CHX51,48.9945,9.3036,541.02,209.55598
2026-07-12 15:42:33,CYF462,47.9713,16.9961,10355.58,718.63196
2026-07-12 15:42:33,CYP1254,47.355,18.3746,6202.68,576.54
2026-07-12 15:42:33,DMBOD,51.6552,12.4718,556.26,222.732
2026-07-12 15:42:33,THY3VP,46.779,17.9312,11582.4,724.464
2026-07-12 15:42:33,THY5HK,49.6253,6.2084,0.0,83.34
2026-07-12 15:42:33,DMWTN,51.1163,8.2208,1059.18,233.67601
2026-07-12 15:42:33,UAE9935,48.4317,9.9112,7132.32,796.032
2026-07-12 15:42:33,UAE61,49.2441,18.7322,13106.4,881.1
2026-07-12 15:42:33,SEMMP,52.2155,8.9093,236.22,141.732
2026-07-12 15:42:33,SAS4774,53.5292,18.5955,11590.02,843.01196
2026-07-12 15:42:33,CHX40,48.5207,10.4811,563.88,225.61198
2026-07-12 15:42:33,KLM32E,46.9073,14.8615,9989.82,737.89197
2026-07-12 15:42:33,FIN1EH,50.7567,13.6614,10363.2,846.54
2026-07-12 15:42:33,DKKSD,50.4554,7.5554,1653.54,152.496
2026-07-12 15:42:33,DKKSU,46.6941,9.3284,2865.12,156.456
2026-07-12 15:42:33,KLM79J,48.036,7.1366,5692.14,727.452
2026-07-12 15:42:33,LOT3ML,52.0975,15.6636,11582.4,825.768
2026-07-12 15:42:33,DLA8MM,47.6045,11.2049,10972.8,853.84796
2026-07-12 15:42:33,DLH3UY,48.9353,10.2693,9433.56,870.12
2026-07-12 15:42:33,DLA9EK,46.9093,8.4726,10058.4,844.66797
2026-07-12 15:42:33,DLA7MT,49.7101,7.7138,4876.8,679.284
2026-07-12 15:42:33,EZY89CH,52.5159,6.3432,11277.6,913.2479
2026-07-12 15:42:33,UAE88,45.1719,16.3113,10668.0,1001.55597
2026-07-12 15:42:33,LOT335,50.8515,13.4095,11582.4,820.11597
2026-07-12 15:42:33,LOT2161,45.2251,9.4082,11277.6,802.188
2026-07-12 15:42:33,LOT2151,50.162,15.4064,11582.4,835.596
2026-07-12 15:42:33,ABY258,45.3289,14.9004,11582.4,774.43195
2026-07-12 15:42:33,FIN8WP,52.7456,5.7673,3817.62,637.84796
2026-07-12 15:42:33,EZY28FG,47.6815,6.467,10972.8,767.51996
2026-07-12 15:42:33,EZY53ZG,47.1,8.7511,10972.8,762.33594
2026-07-12 15:42:33,HKY762,49.5827,14.9387,6705.6,558.612
2026-07-12 15:42:33,UAE2,46.9735,18.1351,11277.6,1023.19196
2026-07-12 15:42:33,FIN4VP,51.6118,12.8687,11582.4,805.212
2026-07-12 15:42:33,EXS92SB,48.7904,5.6624,11277.6,872.712
2026-07-12 15:42:33,UAE4DT,46.2792,16.6894,10058.4,1018.07996
2026-07-12 15:42:33,CXA811,54.0677,9.1688,11582.4,877.896
2026-07-12 15:42:33,DERIG,54.0886,9.2626,3657.6,241.01999
2026-07-12 15:42:33,LOT7TB,51.9341,19.781,5394.96,699.33594
2026-07-12 15:42:33,SAH53P,51.7801,13.6776,6842.76,649.83594
2026-07-12 15:42:33,LHX7HF,52.0224,10.1149,9022.08,879.696
2026-07-12 15:42:33,NJE590T,45.551,9.9708,9753.6,792.89996
2026-07-12 15:42:33,DKXAI,52.2706,12.1299,1348.74,185.43599
2026-07-12 15:42:33,HBKPN,50.3692,7.4665,480.06,240.40799
2026-07-12 15:42:33,FYL23YG,49.7725,7.1108,6705.6,643.968
2026-07-12 15:42:33,DKCWG,47.3803,9.7102,944.88,117.61199
